1.800	5.430
1.810	5.453
1.820	5.477
1.830	5.500
1.840	5.523
1.850	5.547
1.860	5.570
1.870	5.593
1.880	5.616
1.890	5.639
1.900	5.662
1.910	5.685
1.920	5.708
1.930	5.731
1.940	5.754
1.950	5.777
1.960	5.799
1.970	5.822
1.980	5.845
1.990	5.867
2.000	5.890
2.010	5.912
2.020	5.935
2.030	5.957
2.040	5.980
2.050	6.002
2.060	6.025
2.070	6.047
2.080	6.069
2.090	6.091
2.100	6.114
2.110	6.136
2.120	6.158
2.130	6.180
2.140	6.202
2.150	6.224
2.160	6.246
2.170	6.268
2.180	6.290
2.190	6.311
2.200	6.333
2.210	6.355
2.220	6.377
2.230	6.398
2.240	6.420
2.250	6.442
2.260	6.463
2.270	6.485
2.280	6.506
2.290	6.528
2.300	6.549
2.310	6.571
2.320	6.592
2.330	6.613
2.340	6.634
2.350	6.656
2.360	6.677
2.370	6.698
2.380	6.719
2.390	6.740
2.400	6.761
2.410	6.782
2.420	6.803
2.430	6.824
2.440	6.845
2.450	6.866
2.460	6.887
2.470	6.908
2.480	6.929
2.490	6.949
2.500	6.970
2.510	6.991
2.520	7.012
2.530	7.032
2.540	7.053
2.550	7.073
2.560	7.094
2.570	7.114
2.580	7.135
2.590	7.155
2.600	7.176
2.610	7.196
2.620	7.216
2.630	7.237
2.640	7.257
2.650	7.277
2.660	7.297
2.670	7.318
2.680	7.338
2.690	7.358
2.700	7.378
2.710	7.398
2.720	7.418
2.730	7.438
2.740	7.458
2.750	7.478
2.760	7.498
2.770	7.517
2.780	7.537
2.790	7.557
2.800	7.577
2.810	7.597
2.820	7.616
2.830	7.636
2.840	7.656
2.850	7.675
2.860	7.695
2.870	7.714
2.880	7.734
2.890	7.753
2.900	7.773
2.910	7.792
2.920	7.812
2.930	7.831
2.940	7.850
2.950	7.870
2.960	7.889
2.970	7.908
2.980	7.927
2.990	7.947
3.000	7.966
3.010	7.985
3.020	8.004
3.030	8.023
3.040	8.042
3.050	8.061
3.060	8.080
3.070	8.099
3.080	8.118
3.090	8.137
3.100	8.156
3.110	8.175
3.120	8.193
3.130	8.212
3.140	8.231
3.150	8.250
3.160	8.268
3.170	8.287
3.180	8.306
3.190	8.324
3.200	8.343
3.210	8.362
3.220	8.380
3.230	8.399
3.240	8.417
3.250	8.436
3.260	8.454
3.270	8.472
3.280	8.491
3.290	8.509
3.300	8.527
3.310	8.546
3.320	8.564
3.330	8.582
3.340	8.601
3.350	8.619
3.360	8.637
3.370	8.655
3.380	8.673
3.390	8.691
3.400	8.709
3.410	8.727
3.420	8.745
3.430	8.763
3.440	8.781
3.450	8.799
3.460	8.817
3.470	8.835
3.480	8.853
3.490	8.871
3.500	8.888
